,duration_ms,year,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,211160,2000,77,0.751,0.834,1,-5.444,0.0437,0.3,1.77e-05,0.355,0.894,95.053
1,167066,1999,79,0.434,0.897,0,-4.918,0.0488,0.0103,0.0,0.612,0.684,148.726
2,250546,1999,66,0.529,0.496,7,-9.007,0.029,0.173,0.0,0.251,0.278,136.859
3,224493,2000,78,0.551,0.913,0,-4.063,0.0466,0.0263,1.35e-05,0.347,0.544,119.992
4,200560,2000,65,0.614,0.928,8,-4.806,0.0516,0.0408,0.00104,0.0845,0.879,172.656
5,253733,1999,69,0.706,0.888,2,-6.959,0.0654,0.119,9.64e-05,0.07,0.714,121.549
6,284200,2000,86,0.949,0.661,5,-4.244,0.0572,0.0302,0.0,0.0454,0.76,104.504
7,258560,2000,68,0.708,0.772,7,-4.264,0.0322,0.0267,0.0,0.467,0.861,103.035
8,271333,1999,75,0.713,0.678,5,-3.525,0.102,0.273,0.0,0.149,0.734,138.009
9,307153,2001,77,0.72,0.808,6,-5.627,0.0379,0.00793,0.0293,0.0634,0.869,126.041
10,238759,2011,1,0.617,0.728,7,-7.932,0.0292,0.0328,0.0482,0.36,0.808,139.066
11,268863,1999,56,0.745,0.958,7,-9.664,0.0287,0.0813,0.324,0.533,0.96,129.962
12,306333,2000,55,0.822,0.922,11,-5.798,0.0989,0.0291,0.325,0.252,0.568,163.826
13,285960,1999,62,0.586,0.659,0,-7.92,0.0304,0.011,0.0,0.106,0.147,111.989
14,294200,1999,61,0.689,0.685,3,-5.153,0.0478,0.0921,0.0,0.119,0.398,160.067
15,284000,2002,53,0.797,0.622,6,-5.642,0.29,0.0807,0.0,0.0841,0.731,93.02
16,245400,1999,64,0.761,0.716,10,-5.8,0.056,0.396,0.0,0.0771,0.649,119.41
17,214883,2000,73,0.671,0.88,8,-6.149,0.0552,0.00181,0.691,0.285,0.782,136.953
18,285426,1999,64,0.74,0.876,6,-6.87,0.0369,0.0173,0.00152,0.0785,0.825,127.002
19,161506,1999,82,0.922,0.909,10,-2.429,0.27,0.0281,0.0,0.0856,0.309,95.295
20,216880,2000,83,0.556,0.864,3,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143
